//tile 19 4 pixels en haut à gauche
//light :
0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0008, 0x0187, 0x0100, 0x0200
//tile 19 4 pixels en haut à droite
//light :
0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x4000, 0x0400, 0x0100, 0x0080
//tile 30 14pixels en haut à gauche
//light :
0x0000, 0x0000, 0x0020, 0x0000, 0x0088, 0x0000, 0x0020, 0x0008, 0x0041, 0x01C1, 0x0000, 0x2000, 0x2000, 0x0001, 0x0200, 0x0000
//tile 30 14pixels en haut à droite
//light :
0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x1400, 0xC060, 0xC060, 0x2490, 0x0070, 0x0078, 0x0094, 0x000C, 0x000C
//tile 45 16 pixels décalés (4pxs)
//light :
0x0000, 0x00FB, 0x00FF, 0x003F, 0x0004, 0x000F, 0x0007, 0x0003, 0x0001, 0x0000, 0x0061, 0x0077, 0x00F7, 0x07F7, 0x07E7, 0x0300
//tile 46 16 pixels décalés (?pxs)
//light :
0x0000, 0x0180, 0x01F6, 0x00FE, 0x007F, 0x001D, 0x0003, 0x001D, 0x01FD, 0x01FD, 0x00FB, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000
//tile47 16 pixels (haut à gauche)
//light :
0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x01F6, 0x01FE, 0x007E, 0x000C, 0x001F, 0x000F, 0x0007, 0x0003, 0x0000, 0x00C3, 0x00EF
//tile47 16 pixels bas à gauche)
//light :
0x01EF, 0x0FFF, 0x0FCF, 0x0600, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000
//tile48 16 pixels en bas à gauche
//light :
0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x000D, 0x001F, 0x003F, 0x003C, 0x007A, 0x00E7, 0x000F, 0x000F, 0x001E, 0x0038, 0x0000
//parapluie (droite avec décalage vertical de 1 pxl)
//light :
0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x8000, 0xE000, 0xF000, 0xF800, 0xFC00, 0x3C00, 0x0E00, 0x0300, 0x0100, 0x0080, 0x0040
//caisse
//light :
0x7FFF, 0xFFFF, 0x9999, 0x7777, 0x4077, 0x4C77, 0x4077, 0x7777, 0x7777, 0x7777, 0x7777, 0x7777, 0x7777, 0xFFFF, 0xFFFF, 0x7FFF
//ballon (haut)
//light :
0x0000, 0x0E00, 0x0400, 0x0800, 0x5000, 0x6000, 0x4000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000
//ballon (bas)
//light :
0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000
//ballon éclate (haut)
//light :
0x0000, 0x0020, 0x0020, 0x0840, 0x0040, 0x0002, 0x2008, 0x0000, 0x0000, 0x0004, 0x4000, 0x0808, 0x1000, 0x0420, 0x0000, 0x0000
//ballon éclate (bas)
//light :
0x0080, 0x0100, 0x0200, 0x0200, 0x0100, 0x0000, 0x0000, 0x0000, 0x0080, 0x0080, 0x0000, 0x0000, 0x0080, 0x0000, 0x0000, 0x0000
//bulles 1
//light :
0x0070, 0x10F8, 0x00C8, 0x00C8, 0x0070, 0x0000, 0x0000, 0x0008, 0x0080, 0x0140, 0x01C0, 0x0080, 0x2000, 0x0000, 0x0000, 0x0000
//bulles 2
//light :
0x0700, 0x0980, 0x0980, 0x0F80, 0x0700, 0x2000, 0x0000, 0x0000, 0x0800, 0x1400, 0x1C00, 0x0800, 0x0000, 0x0000, 0x0000, 0x0000
//bulles 3
//light :
0x0080, 0x0000, 0x0000, 0x0000, 0x0400, 0x0000, 0x0400, 0x0A00, 0x0010, 0x0040, 0x0040, 0x0800, 0x0010, 0x0080, 0x0000, 0x0000
//bulles 4
//light :
0x0100, 0x0000, 0x0000, 0x0020, 0x0800, 0x0080, 0x0180, 0x0020, 0x04C0, 0x0120, 0x0520, 0x00C0, 0x0000, 0x0000, 0x0100, 0x0000
//bulles 5
//light :
0x0100, 0x0040, 0x0000, 0x0400, 0x0200, 0x0500, 0x0200, 0x0000, 0x0100, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000
//bulles 6
//light :
0x0000, 0x0000, 0x0080, 0x0180, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000
//flying plate
//light :
0x07C0, 0x08A0, 0x1070, 0x2028, 0x2398, 0x2318, 0x2218, 0x2808, 0x1C50, 0x0BA0, 0x07C0, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000
//elevator (left part)
//light :
0x7FFF, 0x8000, 0x8000, 0xBFFF, 0xB333, 0xE666, 0xCCCC, 0xFFFF, 0xAAAB, 0xAAA8, 0xAAA8, 0xAAAB, 0xAAA8, 0xAAAB, 0x0000, 0x0000
//elevator (right part)
//light :
