0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000
0xFFF0, 0x0000, 0xFF80, 0x0000, 0xFE00, 0x0000, 0xF800, 0x0000, 0xF000, 0x0000, 0xE000, 0x0000, 0xC000, 0x0000, 0xC000, 0x0000, 0x8000, 0x0000, 0x8000, 0x0000, 0x8000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000
0x0FFF, 0x0000, 0x01FF, 0x0000, 0x007F, 0x0000, 0x001F, 0x0000, 0x000F, 0x0000, 0x0007, 0x0000, 0x0003, 0x0000, 0x0003, 0x0000, 0x0001, 0x0000, 0x0001, 0x0000, 0x0001, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000
0x0002, 0x0000, 0x0005, 0x0000, 0x0002, 0x0000, 0x0001, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0001, 0x0000, 0x0001, 0x0000, 0x0003, 0x0000, 0x0153, 0x0000, 0x02AF, 0x0000, 0x01FF, 0x0000, 0x07FF, 0x0000
0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x8000, 0x0000, 0x8000, 0x0000, 0xD000, 0x0000, 0xA800, 0x0000, 0xC000, 0x0000, 0xC000, 0x0000, 0xE010, 0x0000, 0xFAA0, 0x0000, 0xF540, 0x0000, 0xF800, 0x0000, 0xFC02, 0x0000, 0xFF05, 0x0000
0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000, 0x0000
0x0FF8, 0xFFFF, 0x182C, 0xF01F, 0x3016, 0xE00F, 0x63CA, 0xC187, 0x676A, 0xC3C7, 0x5A6A, 0xE7C7, 0x3CCA, 0xFF87, 0x0194, 0xFF0F, 0x0328, 0xFE1F, 0x0650, 0xFC3F, 0x06A0, 0xFC7F, 0x0240, 0xFFFF, 0x03C0, 0xFFFF, 0x0660, 0xFC3F, 0x05A0, 0xFE7F, 0x03C0, 0xFFFF
0x0000, 0xFFFF, 0x8000, 0x8000, 0xF000, 0x8FFF, 0xFFFF, 0x8000, 0xFFFF, 0x8000, 0xFFFF, 0x8000, 0xFFFF, 0x8000, 0xFFFF, 0x8000, 0xF000, 0x8FFF, 0x8000, 0xFFFF, 0x8FFF, 0x8000, 0x8000, 0xFFFF, 0xFFFF, 0xFFFF, 0x8FFF, 0xFFFF, 0x8000, 0xFFFF, 0xF000, 0x8FFF
0x0000, 0xFFFF, 0x0000, 0x0000, 0x0000, 0xFFFF, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0xFFFF, 0x0000, 0x0000, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF
0x0000, 0xFFFF, 0x0001, 0x000F, 0x0001, 0xFFFF, 0xFFF1, 0x000F, 0xFFF1, 0x000F, 0xFFF1, 0x000F, 0xFFF1, 0x000F, 0xFFF1, 0x000F, 0x0001, 0xFFFF, 0x000F, 0xFFFF, 0xFFF1, 0x000F, 0x000F, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0xFFFF, 0x000F, 0xFFFF, 0x0001, 0xFFFF
0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0x0000, 0xFFFF, 0xFFFF, 0xFFFF
